species,park,observations
Carex abrupta,Yosemite National Park,176
Carex abrupta,Bryce National Park,82
Carex abrupta,Yellowstone National Park,250
Wisteria frutescens,Great Smoky Mountains National Park,38
Wisteria frutescens,Yosemite National Park,153
Wisteria frutescens,Bryce National Park,85
Wisteria frutescens,Yellowstone National Park,287
Stellaria crispa,Great Smoky Mountains National Park,89
Stellaria crispa,Yosemite National Park,140
Stellaria crispa,Bryce National Park,69
Stellaria crispa,Yellowstone National Park,281
Fraxinus quadrangulata,Great Smoky Mountains National Park,85
Fraxinus quadrangulata,Yosemite National Park,146
Fraxinus quadrangulata,Bryce National Park,58
Fraxinus quadrangulata,Yellowstone National Park,242
Betula occidentalis,Great Smoky Mountains National Park,85
Betula occidentalis,Yosemite National Park,165
Betula occidentalis,Bryce National Park,112
Betula occidentalis,Yellowstone National Park,263
Heterotheca camporum,Great Smoky Mountains National Park,94
Heterotheca camporum,Yosemite National Park,147
Heterotheca camporum,Bryce National Park,122
Heterotheca camporum,Yellowstone National Park,239
Lipocarpha occidentalis,Great Smoky Mountains National Park,50
Lipocarpha occidentalis,Yosemite National Park,142
Lipocarpha occidentalis,Bryce National Park,80
Lipocarpha occidentalis,Yellowstone National Park,277
Bulbostylis capillaris,Great Smoky Mountains National Park,157
Bulbostylis capillaris,Yosemite National Park,320
Bulbostylis capillaris,Bryce National Park,180
Bulbostylis capillaris,Yellowstone National Park,536
Luzula subcongesta,Great Smoky Mountains National Park,92
Luzula subcongesta,Yosemite National Park,121
Luzula subcongesta,Bryce National Park,93
Luzula subcongesta,Yellowstone National Park,252
Sphenosciadium capitellatum,Great Smoky Mountains National Park,92
Sphenosciadium capitellatum,Yosemite National Park,147
Sphenosciadium capitellatum,Bryce National Park,130
Sphenosciadium capitellatum,Yellowstone National Park,237
Gamochaeta purpurea,Great Smoky Mountains National Park,96
Gamochaeta purpurea,Yosemite National Park,132
Gamochaeta purpurea,Bryce National Park,71
Gamochaeta purpurea,Yellowstone National Park,244
Hieracium scabrum,Great Smoky Mountains National Park,72
Hieracium scabrum,Yosemite National Park,136
Hieracium scabrum,Bryce National Park,91
Hieracium scabrum,Yellowstone National Park,245
Podiceps auritus,Great Smoky Mountains National Park,59
Podiceps auritus,Yosemite National Park,166
Podiceps auritus,Bryce National Park,102
Podiceps auritus,Yellowstone National Park,247
Calycanthus occidentalis,Great Smoky Mountains National Park,70
Calycanthus occidentalis,Yosemite National Park,170
Calycanthus occidentalis,Bryce National Park,125
Calycanthus occidentalis,Yellowstone National Park,238
Asplenium montanum,Great Smoky Mountains National Park,49
Asplenium montanum,Yosemite National Park,164
Asplenium montanum,Bryce National Park,63
Asplenium montanum,Yellowstone National Park,224
Silene bernardina,Great Smoky Mountains National Park,95
Silene bernardina,Yosemite National Park,150
Silene bernardina,Bryce National Park,118
Silene bernardina,Yellowstone National Park,247
Pinus strobus,Great Smoky Mountains National Park,87
Pinus strobus,Yosemite National Park,203
Pinus strobus,Bryce National Park,129
Pinus strobus,Yellowstone National Park,258
Ampelopsis arborea,Great Smoky Mountains National Park,69
Ampelopsis arborea,Yosemite National Park,152
Ampelopsis arborea,Bryce National Park,88
Ampelopsis arborea,Yellowstone National Park,256
Ageratina aromatica var. aromatica,Great Smoky Mountains National Park,84
Ageratina aromatica var. aromatica,Yosemite National Park,117
Ageratina aromatica var. aromatica,Bryce National Park,110
Ageratina aromatica var. aromatica,Yellowstone National Park,205
Oxytropis borealis var. viscida,Great Smoky Mountains National Park,76
Oxytropis borealis var. viscida,Yosemite National Park,130
Oxytropis borealis var. viscida,Bryce National Park,117
Oxytropis borealis var. viscida,Yellowstone National Park,217
Artemisiospiza belli,Great Smoky Mountains National Park,101
Artemisiospiza belli,Yosemite National Park,188
Artemisiospiza belli,Bryce National Park,96
Artemisiospiza belli,Yellowstone National Park,256
Noturus flavipinnis,Great Smoky Mountains National Park,36
Noturus flavipinnis,Yosemite National Park,72
Noturus flavipinnis,Bryce National Park,55
Noturus flavipinnis,Yellowstone National Park,126
Oporornis philadelphia,Great Smoky Mountains National Park,90
Oporornis philadelphia,Yosemite National Park,173
Oporornis philadelphia,Bryce National Park,50
Oporornis philadelphia,Yellowstone National Park,217
Calycanthus floridus var. glaucus,Great Smoky Mountains National Park,57
Calycanthus floridus var. glaucus,Yosemite National Park,150
Calycanthus floridus var. glaucus,Bryce National Park,96
Calycanthus floridus var. glaucus,Yellowstone National Park,272
Mahonia repens,Great Smoky Mountains National Park,51
Mahonia repens,Yosemite National Park,188
Mahonia repens,Bryce National Park,73
Mahonia repens,Yellowstone National Park,264
Heuchera rubescens var. glandulosa,Great Smoky Mountains National Park,87
Heuchera rubescens var. glandulosa,Yosemite National Park,140
Heuchera rubescens var. glandulosa,Bryce National Park,102
Heuchera rubescens var. glandulosa,Yellowstone National Park,251
Carduelis pinus,Great Smoky Mountains National Park,66
Carduelis pinus,Yosemite National Park,157
Carduelis pinus,Bryce National Park,113
Carduelis pinus,Yellowstone National Park,212
Bryhnia graminicolor,Great Smoky Mountains National Park,73
Bryhnia graminicolor,Yosemite National Park,130
Bryhnia graminicolor,Bryce National Park,111
Bryhnia graminicolor,Yellowstone National Park,277
Taraxacum scopulorum,Great Smoky Mountains National Park,114
Taraxacum scopulorum,Yosemite National Park,164
Taraxacum scopulorum,Bryce National Park,130
Taraxacum scopulorum,Yellowstone National Park,285
Toxicodendron radicans ssp. radicans,Great Smoky Mountains National Park,85
Toxicodendron radicans ssp. radicans,Yosemite National Park,174
Toxicodendron radicans ssp. radicans,Bryce National Park,77
Toxicodendron radicans ssp. radicans,Yellowstone National Park,242
Galeopsis tetrahit,Great Smoky Mountains National Park,51
Galeopsis tetrahit,Yosemite National Park,117
Galeopsis tetrahit,Bryce National Park,78
Galeopsis tetrahit,Yellowstone National Park,222
Eremocarpus setigerus,Great Smoky Mountains National Park,85
Eremocarpus setigerus,Yosemite National Park,138
Eremocarpus setigerus,Bryce National Park,99
Eremocarpus setigerus,Yellowstone National Park,257
Chenopodium ambrosioides,Great Smoky Mountains National Park,112
Chenopodium ambrosioides,Yosemite National Park,171
Chenopodium ambrosioides,Bryce National Park,70
Chenopodium ambrosioides,Yellowstone National Park,285
Agrimonia parviflora,Great Smoky Mountains National Park,78
Agrimonia parviflora,Yosemite National Park,168
Agrimonia parviflora,Bryce National Park,105
Agrimonia parviflora,Yellowstone National Park,232
Quercus wislizeni var. wislizeni,Great Smoky Mountains National Park,94
Quercus wislizeni var. wislizeni,Yosemite National Park,171
Quercus wislizeni var. wislizeni,Bryce National Park,114
Quercus wislizeni var. wislizeni,Yellowstone National Park,250
Heterotheca villosa var. nana,Great Smoky Mountains National Park,111
Heterotheca villosa var. nana,Yosemite National Park,140
Heterotheca villosa var. nana,Bryce National Park,71
Heterotheca villosa var. nana,Yellowstone National Park,257
Silene lemmonii,Great Smoky Mountains National Park,81
Silene lemmonii,Yosemite National Park,146
Silene lemmonii,Bryce National Park,121
Silene lemmonii,Yellowstone National Park,271
Pycnanthemum incanum,Great Smoky Mountains National Park,70
Pycnanthemum incanum,Yosemite National Park,160
Pycnanthemum incanum,Bryce National Park,96
Pycnanthemum incanum,Yellowstone National Park,275
Trifolium repens,Great Smoky Mountains National Park,122
Trifolium repens,Yosemite National Park,314
Trifolium repens,Bryce National Park,150
Trifolium repens,Yellowstone National Park,524
Microtus pinetorum,Great Smoky Mountains National Park,94
Microtus pinetorum,Yosemite National Park,159
Microtus pinetorum,Bryce National Park,108
Microtus pinetorum,Yellowstone National Park,248
Silphium asteriscus var. asteriscus,Great Smoky Mountains National Park,67
Silphium asteriscus var. asteriscus,Yosemite National Park,142
Silphium asteriscus var. asteriscus,Bryce National Park,116
Silphium asteriscus var. asteriscus,Yellowstone National Park,231
Phlox glaberrima ssp. triflora,Great Smoky Mountains National Park,39
Phlox glaberrima ssp. triflora,Yosemite National Park,111
Phlox glaberrima ssp. triflora,Bryce National Park,119
Phlox glaberrima ssp. triflora,Yellowstone National Park,237
Monarda didyma,Great Smoky Mountains National Park,82
Monarda didyma,Yosemite National Park,129
Monarda didyma,Bryce National Park,78
Monarda didyma,Yellowstone National Park,265
Chamaelirium luteum,Great Smoky Mountains National Park,79
Chamaelirium luteum,Yosemite National Park,164
Chamaelirium luteum,Bryce National Park,61
Chamaelirium luteum,Yellowstone National Park,265
Gentianella tenella ssp. tenella,Great Smoky Mountains National Park,67
Gentianella tenella ssp. tenella,Yosemite National Park,171
Gentianella tenella ssp. tenella,Bryce National Park,109
Gentianella tenella ssp. tenella,Yellowstone National Park,218
Rana luteiventris,Great Smoky Mountains National Park,31
Rana luteiventris,Yosemite National Park,156
Rana luteiventris,Bryce National Park,69
Rana luteiventris,Yellowstone National Park,238
Collinsia childii,Great Smoky Mountains National Park,100
Collinsia childii,Yosemite National Park,136
Collinsia childii,Bryce National Park,74
Collinsia childii,Yellowstone National Park,253
Phaeoceros laevis ssp. carolinianus,Great Smoky Mountains National Park,52
Phaeoceros laevis ssp. carolinianus,Yosemite National Park,154
Phaeoceros laevis ssp. carolinianus,Bryce National Park,100
Phaeoceros laevis ssp. carolinianus,Yellowstone National Park,272
Mitella pentandra,Great Smoky Mountains National Park,69
Mitella pentandra,Yosemite National Park,169
Mitella pentandra,Bryce National Park,88
Mitella pentandra,Yellowstone National Park,233
Arnoglossum atriplicifolium,Great Smoky Mountains National Park,86
Arnoglossum atriplicifolium,Yosemite National Park,145
Arnoglossum atriplicifolium,Bryce National Park,88
Arnoglossum atriplicifolium,Yellowstone National Park,233
Fontinalis flaccida,Great Smoky Mountains National Park,68
Fontinalis flaccida,Yosemite National Park,150
Fontinalis flaccida,Bryce National Park,88
Fontinalis flaccida,Yellowstone National Park,263
Eupatorium steelei,Great Smoky Mountains National Park,81
Eupatorium steelei,Yosemite National Park,93
Eupatorium steelei,Bryce National Park,101
Eupatorium steelei,Yellowstone National Park,272
Mimulus pulsiferae,Great Smoky Mountains National Park,57
Mimulus pulsiferae,Yosemite National Park,129
Mimulus pulsiferae,Bryce National Park,124
Mimulus pulsiferae,Yellowstone National Park,226
Grus americana,Great Smoky Mountains National Park,13
Grus americana,Yosemite National Park,37
Grus americana,Bryce National Park,24
Grus americana,Yellowstone National Park,57
Vaccinium membranaceum,Great Smoky Mountains National Park,73
Vaccinium membranaceum,Yosemite National Park,163
Vaccinium membranaceum,Bryce National Park,94
Vaccinium membranaceum,Yellowstone National Park,245
Ranunculus californicus,Great Smoky Mountains National Park,127
Ranunculus californicus,Yosemite National Park,169
Ranunculus californicus,Bryce National Park,79
Ranunculus californicus,Yellowstone National Park,292
Medeola virginiana,Great Smoky Mountains National Park,66
Medeola virginiana,Yosemite National Park,175
Medeola virginiana,Bryce National Park,106
Medeola virginiana,Yellowstone National Park,247
Charadrius nivosus,Great Smoky Mountains National Park,57
Charadrius nivosus,Yosemite National Park,154
Charadrius nivosus,Bryce National Park,58
Charadrius nivosus,Yellowstone National Park,282
Mimosa microphylla,Great Smoky Mountains National Park,85
Mimosa microphylla,Yosemite National Park,168
Mimosa microphylla,Bryce National Park,70
Mimosa microphylla,Yellowstone National Park,245
Juncus nevadensis,Great Smoky Mountains National Park,71
Juncus nevadensis,Yosemite National Park,144
Juncus nevadensis,Bryce National Park,87
Juncus nevadensis,Yellowstone National Park,239
Eumeces fasciatus,Great Smoky Mountains National Park,99
Eumeces fasciatus,Yosemite National Park,117
Eumeces fasciatus,Bryce National Park,79
Eumeces fasciatus,Yellowstone National Park,257
Juncus bufonius var. occidentalis,Great Smoky Mountains National Park,80
Juncus bufonius var. occidentalis,Yosemite National Park,154
Juncus bufonius var. occidentalis,Bryce National Park,83
Juncus bufonius var. occidentalis,Yellowstone National Park,238
Ceratophyllum demersum,Great Smoky Mountains National Park,67
Ceratophyllum demersum,Yosemite National Park,173
Ceratophyllum demersum,Bryce National Park,117
Ceratophyllum demersum,Yellowstone National Park,260
Sporobolus indicus,Great Smoky Mountains National Park,56
Sporobolus indicus,Yosemite National Park,128
